,Location ID,City,Area,Name,Address,Latitude,Longitude,Rating,Total Reviews,Place ID,Google Maps URL,full_location
191,LOC_3,Chennai,Kundrathur,Naturals Salon,"Thulasi Doss Nagar, No 33, Kundrathur Main Road, Astha Lakshmi Nagar, Kumananchavadi, Poonamallee, Chennai, Tamil Nadu 600056, India",13.0395044,80.1134924,4.7,1119,ChIJZdX-Eu5hUjoRgkNQxEBESEg,https://www.google.com/maps/place/?q=place_id:ChIJZdX-Eu5hUjoRgkNQxEBESEg,Chennai KundrathurNaturals Salon
200,LOC_5,Chennai,Mandaveli,Naturals Salon,"SN 112/220, 1st Flr, Ramakrishna Mutt Rd Tiruchanur Tiruchanur, Sankarapuram, Mylapore, Chennai, Tamil Nadu 600004, India",13.0322273,80.2671606,4.8,233,ChIJYZbz09JnUjoR_64SC_bUiFM,https://www.google.com/maps/place/?q=place_id:ChIJYZbz09JnUjoR_64SC_bUiFM,Chennai MandaveliNaturals Salon
203,LOC_1,Chennai,Medavakkam,Naturals Salon,"No 7, Velachery Rd, opposite Nilgiris Super Market, United Colony, Vengaivasal, Medavakkam, Chennai, Tamil Nadu 600100, India",12.9184288,80.1886943,4.5,1021,ChIJWd8PJh9cUjoRsPVjWNl2llg,https://www.google.com/maps/place/?q=place_id:ChIJWd8PJh9cUjoRsPVjWNl2llg,Chennai MedavakkamNaturals Salon
205,LOC_3,Chennai,Medavakkam,Naturals Sithalapakkam,"No 197A, 1st Floor, TNHB Colony, Mambakkam - Medavakkam Main Rd, opposite ICICI Bank, Sithalapakkam, Mambakkam, Chennai, Tamil Nadu 600126, India",12.8920011,80.17759219999999,4.7,1711,ChIJs2DV8q9ZUjoR4pa3jpflOGE,https://www.google.com/maps/place/?q=place_id:ChIJs2DV8q9ZUjoR4pa3jpflOGE,Chennai MedavakkamNaturals Sithalapakkam
207,LOC_5,Chennai,Medavakkam,Naturals Salon,"Plot No 22, Indira Priyadarshini Nagar Kailash Nagar, near Hospital Road, Junction, Perumbakkam, Chennai, Tamil Nadu 600100, India",12.9036775,80.20774469999999,4.4,1721,ChIJ238xNXNcUjoRtIIw8MTQSOI,https://www.google.com/maps/place/?q=place_id:ChIJ238xNXNcUjoRtIIw8MTQSOI,Chennai MedavakkamNaturals Salon
210,LOC_8,Chennai,Medavakkam,Naturals Signature Salon,"1, Sristi Arcade, Sristi First Avenue, Cheran Nagar, Perumbakkam, Chennai, Tamil Nadu 600100, India",12.8962646,80.19810849999999,4.8,452,ChIJ5dJscNpbUjoRxlwAVwOEggE,https://www.google.com/maps/place/?q=place_id:ChIJ5dJscNpbUjoRxlwAVwOEggE,Chennai MedavakkamNaturals Signature Salon
212,LOC_10,Chennai,Medavakkam,Naturals Salon & Spa Gowrivakkam,"No:141, Velachery Rd, New Kunagkurichi, Gowriwakkam, Sembakkam, Chennai, Tamil Nadu 600073, India",12.9214792,80.16513049999999,4.2,367,ChIJQ83jz-BdUjoRIT5GBw6E50I,https://www.google.com/maps/place/?q=place_id:ChIJQ83jz-BdUjoRIT5GBw6E50I,Chennai MedavakkamNaturals Salon & Spa Gowrivakkam
214,LOC_1,Chennai,Mogaippar - Eri Scheme,Naturals Salon,"No B20, 1st Floor, Church Rd, opposite Ellahi Super Market, Mogappair Industrial Estate, Mogappair Eri Scheme, Mogappair East, Chennai, Tamil Nadu 600037, India",13.0760351,80.1813142,4.9,321,ChIJlW5oj6BhUjoRQyENc721zc8,https://www.google.com/maps/place/?q=place_id:ChIJlW5oj6BhUjoRQyENc721zc8,Chennai Mogaippar - Eri SchemeNaturals Salon
215,LOC_2,Chennai,Mogaippar - Eri Scheme,Naturals Salon,"1/C8, Kamaraj Square, Valaiyapathi Salai Mogappair East, near Padi Pudur Nagar, Mogappair, Chennai, Tamil Nadu 600037, India",13.0814661,80.1880285,4.7,998,ChIJ9bYgmf9jUjoRFj5jTvo6uDc,https://www.google.com/maps/place/?q=place_id:ChIJ9bYgmf9jUjoRFj5jTvo6uDc,Chennai Mogaippar - Eri SchemeNaturals Salon
216,LOC_3,Chennai,Mogaippar - Eri Scheme,Naturals Salon,"AGP Saantham Building, 4/750, 4th Block, Mogappair West, Ambattur Industrial Estate, Chennai, Tamil Nadu 600037, India",13.0817156,80.1677447,4.5,1374,ChIJEVxstt9jUjoRmQFQklMrCpM,https://www.google.com/maps/place/?q=place_id:ChIJEVxstt9jUjoRmQFQklMrCpM,Chennai Mogaippar - Eri SchemeNaturals Salon
